ID,Condition,Trial ,justice,age,participantgender,gender,race,year
2,4,1,10,26,1,1,5,3
2,4,2,10,26,1,1,5,3
2,4,3,10,26,1,1,5,3
2,4,4,10,26,1,1,5,3
2,4,5,10,26,1,1,5,3
2,4,6,10,26,1,1,5,3
2,4,7,10,26,1,1,5,3
2,4,8,10,26,1,1,5,3
2,4,9,10,26,1,1,5,3
2,4,10,10,26,1,1,5,3
2,4,11,10,26,1,1,5,3
2,4,12,10,26,1,1,5,3
2,4,13,10,26,1,1,5,3
2,4,14,7,26,1,1,5,3
2,4,15,8,26,1,1,5,3
2,4,16,7,26,1,1,5,3
2,4,17,8,26,1,1,5,3
2,4,18,8,26,1,1,5,3
2,4,19,9,26,1,1,5,3
4,3,1,8,21,1,1,1,4
4,3,2,8,21,1,1,1,4
4,3,3,8,21,1,1,1,4
4,3,4,8,21,1,1,1,4
4,3,5,9,21,1,1,1,4
4,3,6,8,21,1,1,1,4
4,3,7,6,21,1,1,1,4
4,3,8,6,21,1,1,1,4
4,3,9,7,21,1,1,1,4
4,3,10,7,21,1,1,1,4
4,3,11,4,21,1,1,1,4
4,3,12,5,21,1,1,1,4
4,3,13,8,21,1,1,1,4
4,3,14,8,21,1,1,1,4
4,3,15,9,21,1,1,1,4
4,3,16,8,21,1,1,1,4
4,3,17,9,21,1,1,1,4
4,3,18,8,21,1,1,1,4
4,3,19,8,21,1,1,1,4
5,2,1,10,21,1,1,1,4
5,2,2,10,21,1,1,1,4
5,2,3,10,21,1,1,1,4
5,2,4,10,21,1,1,1,4
5,2,5,10,21,1,1,1,4
5,2,6,10,21,1,1,1,4
5,2,7,3,21,1,1,1,4
5,2,8,1,21,1,1,1,4
5,2,9,10,21,1,1,1,4
5,2,10,6,21,1,1,1,4
5,2,11,1,21,1,1,1,4
5,2,12,10,21,1,1,1,4
5,2,13,10,21,1,1,1,4
5,2,14,10,21,1,1,1,4
5,2,15,10,21,1,1,1,4
5,2,16,10,21,1,1,1,4
5,2,17,10,21,1,1,1,4
5,2,18,10,21,1,1,1,4
5,2,19,8,21,1,1,1,4
6,1,1,4,21,1,1,5,3
6,1,2,1,21,1,1,5,3
6,1,3,3,21,1,1,5,3
6,1,4,4,21,1,1,5,3
6,1,5,1,21,1,1,5,3
6,1,6,3,21,1,1,5,3
6,1,7,9,21,1,1,5,3
6,1,8,9,21,1,1,5,3
6,1,9,5,21,1,1,5,3
6,1,10,8,21,1,1,5,3
6,1,11,9,21,1,1,5,3
6,1,12,5,21,1,1,5,3
6,1,13,5,21,1,1,5,3
6,1,14,5,21,1,1,5,3
6,1,15,4,21,1,1,5,3
6,1,16,5,21,1,1,5,3
6,1,17,5,21,1,1,5,3
6,1,18,5,21,1,1,5,3
6,1,19,7,21,1,1,5,3
7,5,1,5,22,1,1,1,3
7,5,2,2,22,1,1,1,3
7,5,3,9,22,1,1,1,3
7,5,4,7,22,1,1,1,3
7,5,5,9,22,1,1,1,3
7,5,6,9,22,1,1,1,3
7,5,7,9,22,1,1,1,3
7,5,8,10,22,1,1,1,3
7,5,9,10,22,1,1,1,3
7,5,10,4,22,1,1,1,3
7,5,11,8,22,1,1,1,3
7,5,12,5,22,1,1,1,3
7,5,13,10,22,1,1,1,3
7,5,14,8,22,1,1,1,3
7,5,15,7,22,1,1,1,3
7,5,16,10,22,1,1,1,3
7,5,17,5,22,1,1,1,3
7,5,18,9,22,1,1,1,3
7,5,19,7,22,1,1,1,3
8,4,1,5,29,1,1,2,4
8,4,2,1,29,1,1,2,4
8,4,3,4,29,1,1,2,4
8,4,4,2,29,1,1,2,4
8,4,5,5,29,1,1,2,4
8,4,6,2,29,1,1,2,4
8,4,7,5,29,1,1,2,4
8,4,8,5,29,1,1,2,4
8,4,9,5,29,1,1,2,4
8,4,10,5,29,1,1,2,4
8,4,11,5,29,1,1,2,4
8,4,12,1,29,1,1,2,4
8,4,13,5,29,1,1,2,4
8,4,14,1,29,1,1,2,4
8,4,15,1,29,1,1,2,4
8,4,16,1,29,1,1,2,4
8,4,17,1,29,1,1,2,4
8,4,18,1,29,1,1,2,4
8,4,19,5,29,1,1,2,4
9,4,1,10,25,1,1,1,4
9,4,2,10,25,1,1,1,4
9,4,3,10,25,1,1,1,4
9,4,4,10,25,1,1,1,4
9,4,5,10,25,1,1,1,4
9,4,6,10,25,1,1,1,4
9,4,7,10,25,1,1,1,4
9,4,8,10,25,1,1,1,4
9,4,9,10,25,1,1,1,4
9,4,10,10,25,1,1,1,4
9,4,11,10,25,1,1,1,4
9,4,12,10,25,1,1,1,4
9,4,13,1,25,1,1,1,4
9,4,14,1,25,1,1,1,4
9,4,15,3,25,1,1,1,4
9,4,16,3,25,1,1,1,4
9,4,17,5,25,1,1,1,4
9,4,18,8,25,1,1,1,4
